Id,Province,Zone,CountVoter,CountRealVoter
3a2cba02-8e2b-4d27-84a3-f04f6a1773bd,เชียงราย,6,106724,74785
5704571e-4f05-40c2-ad09-f1aab609d0ca,เชียงราย,7,114957,75309
1f8db633-7024-49fc-8399-42cc7b85d8e4,แม่ฮ่องสอน,1,174412,133617
e0dd6245-8d7b-48bc-9a15-c808a3028de8,นครสวรรค์,1,141704,98290
2c385f0d-d67d-4cc7-bbd9-2db60d917f0e,นครสวรรค์,2,142618,102330
65c3d279-a828-4988-b912-922ad8dfbaa3,นครสวรรค์,3,142228,95487
edafca7c-87d5-4e4c-afc6-fb536f3a20f6,นครสวรรค์,4,141236,92905
476a6342-a2c6-4c67-85ab-2fe28e9ac568,นครสวรรค์,5,142566,94002
48ce20e1-3ae0-40ca-9a51-fdf988254101,นครสวรรค์,6,133969,84898
440e8fcd-9d93-4330-99b5-d85de7a7e3d6,อุทัยธานี,1,128340,91156
70738fda-58bf-408e-a71e-b1a91f29380d,อุทัยธานี,2,132400,87657
f82b7c8c-9012-4280-8c87-302515d095bd,กำแพงเพชร,1,143494,97365
eed85ab8-acf2-4635-8f8b-b54a16a8146f,กำแพงเพชร,2,145172,91596
e43fc0b5-181a-4c8a-8287-05eab1847bdb,กำแพงเพชร,3,138238,86951
bb0d49bb-05f3-4647-a99a-41e6e27e190f,กำแพงเพชร,4,139761,89152
32de06f9-e424-4a39-831a-2ed5eb9860cb,ตาก,1,158935,107487
63d4bc81-6f2c-420d-b851-5f727549d8fd,ตาก,2,116421,79316
4c5f1028-828a-4570-95a2-ebe79eb72aab,ตาก,3,113751,79526
68de6766-ba63-4de2-8a00-44ebe4ec04a4,สุโขทัย,1,158866,112111
564ce338-071e-4f90-a734-8b3cafea5d86,สุโขทัย,2,158367,103229
32b6590d-655d-4350-86b2-e198fd8ad95b,สุโขทัย,3,165126,115032
116b9c52-86d1-4fa0-a10e-5ec3ac42440f,พิษณุโลก,1,139971,95486
c6b75747-c1fd-4e76-a03a-6f74ad40c497,พิษณุโลก,2,143884,99742
1b925f6d-972e-4160-b9b1-342123c7bfdb,พิษณุโลก,3,141489,86672
6876262a-c026-45d8-b0fc-b13c3b185948,พิษณุโลก,4,137231,94169
7680bcbf-797b-4665-8c32-ca1cee4f3836,พิษณุโลก,5,130434,90105
d6c9954d-b0ad-426b-bfb6-f37ea8b573f5,พิจิตร,1,145995,94571
330d0191-fa5c-4bb4-aa04-1ef3d5532db8,พิจิตร,2,144293,86614
78260e96-9ce3-4960-b347-4da2a9d75f86,พิจิตร,3,143130,93443
2b2de258-4787-46d8-99b7-528432e810b8,เพชรบูรณ์,1,157773,104911
7878069d-9eb3-49f1-a50b-0665237d5480,เพชรบูรณ์,2,158733,105067
fc3fe366-f1a6-4f8e-bf17-45b06cad17ed,เพชรบูรณ์,3,156499,97855
7d2167a0-8905-4083-825f-8b9e7c4ec27e,เพชรบูรณ์,4,155938,97159
700f34be-0fe9-463f-b234-afbbb9b6d01f,เพชรบูรณ์,5,155981,94485
10ca34dd-0a6a-46e4-bed6-56e830a9d08f,ราชบุรี,1,137428,100965
774f5336-730d-4f29-8464-7050c8acb5c2,ราชบุรี,2,130411,100038
4e47ffe0-01f0-41d4-a698-ecdf75c9afb4,ราชบุรี,3,136325,101947
d5e45e33-66c3-4c2c-81f1-1dbe7877f655,ราชบุรี,4,137674,102434
f2fd49db-75f4-40bf-a021-3ecbf1cce6c3,ราชบุรี,5,133968,98742
cfde45e5-b414-4bdf-966d-57fbab323ea7,กาญจนบุรี,1,148284,100348
505b82c2-d9cf-4677-8455-bcf0b78edc67,กาญจนบุรี,2,112148,81021
6433d355-6f6b-4ad3-98c6-d19a206448b2,กาญจนบุรี,3,147979,107972
099daf7d-085b-42bc-ba49-35109ea79e30,กาญจนบุรี,4,139007,95814
7337f597-0198-4a73-9b44-02489dbf4d13,กาญจนบุรี,5,83628,54369
5f24bdd2-a598-4c0f-9bfe-939eaeb1b8f3,สุพรรณบุรี,1,174267,121711
f690493d-7e75-4fa6-80cd-a5c5aa9c3f87,สุพรรณบุรี,2,166681,116407
711d182a-d911-466f-85a9-3ec2496b2802,สุพรรณบุรี,3,172573,130457
789bc26f-6c4d-4230-904e-7331c0028598,สุพรรณบุรี,4,163929,117025
5c12f11f-6fe4-459e-82d7-099e7a7c5ea6,นครปฐม,1,144684,104724
143c2035-50c2-4ad1-9e50-8cacd979d420,นครปฐม,2,142909,112678
a28023eb-5e82-435d-a77a-655387df091b,นครปฐม,3,145678,104907
d6e9fb29-2c7d-4269-92fc-4cb9a9fc9dff,นครปฐม,4,147338,108593
658ef7a9-f645-41b8-954f-63a3f8be1deb,นครปฐม,5,143444,101879
ef88973a-a056-46aa-b3e4-2d8edeea7b58,สมุทรสาคร,1,141508,102690
087da2a2-1fe6-4a1b-b684-c97117c7d902,สมุทรสาคร,2,138723,95903
ce9acf3c-89d5-4abb-a791-060e29220e7d,สมุทรสาคร,3,144883,102835
50042c84-77a1-4695-b012-5e40de00b1ac,สมุทรสงคราม,1,157769,112086
3cc49475-3583-4864-9cc6-f251345128f2,เพชรบุรี,1,123818,92174
cff71301-6217-4934-b96e-a111cda662af,เพชรบุรี,2,130786,97463
e26d88f0-8f4b-4d8f-94db-82eea931a756,เพชรบุรี,3,127715,96412
6c5f7949-12ac-49ff-afca-600ce060c26b,ประจวบคีรีขันธ์,1,143954,99629
1e806f5b-ce76-4e6e-bd29-1f60fa8c9721,ประจวบคีรีขันธ์,2,146057,101712
f18270ff-a461-425e-8195-b3bc3466d294,ประจวบคีรีขันธ์,3,126931,88630
0301a37b-0784-4c5e-bdf4-bf74b424e971,นครศรีธรรมราช,1,148475,99559
67d5d663-c937-4524-82f0-da63265cbfbf,นครศรีธรรมราช,2,163995,105242
83e6375d-b8a4-4f93-b301-02c0c2f3f846,นครศรีธรรมราช,3,151759,103831
d68b5a25-55f8-4ef1-9b2a-26e8acfb1a42,นครศรีธรรมราช,4,156411,102481
6c7781e2-81f6-4148-bb16-ba4cf08e4d2f,นครศรีธรรมราช,5,146386,98658
273c75ba-4710-48af-89ac-1f57e441cdb9,นครศรีธรรมราช,6,139455,95656
c490ee7c-3d33-4c62-8369-f36f83de72f5,นครศรีธรรมราช,7,150011,93018
bfe88782-fb73-4dc8-878c-edf462471697,นครศรีธรรมราช,8,148575,103728
5c9ad241-b66c-472b-9704-4e26d1d8bc2f,กระบี่,1,170951,124873
b33722c3-f05b-43ba-bf92-368026295375,กระบี่,2,172261,130062
b2683aed-7a70-44a2-bd84-314f85cf0ffb,พังงา,1,202831,144793
84de0288-cf06-4a62-a366-ad095beb1348,ภูเก็ต,1,145051,96186
